title,link,no,district,area,price,amount,layout,three
山东中医药大学一宿舍,https://jn.ke.com/xiaoqu/458486467416805/,458486467416805,历下,环山,26579,9,3室1厅:83,True
得胜南街,https://jn.ke.com/xiaoqu/4511100849802/,4511100849802,市中,胜利大街,37111,36,1室1厅:42.56,False
淮海东城御景南区,https://jn.ke.com/xiaoqu/4520036661523829/,4520036661523829,历下,盛福,19054,1,,False
广电宿舍,https://jn.ke.com/xiaoqu/457488483896346/,457488483896346,历下,文化西路,27316,8,3室2厅:107,True
鲁信蟠龙山花园,https://jn.ke.com/xiaoqu/4510752419967147/,4510752419967147,历城,经十东路,16455,22,4室2厅:281.29,False
制锦市铜元局后街,https://jn.ke.com/xiaoqu/4511058224725/,4511058224725,天桥,制锦市,17791,20,1室1厅:38.12,False
兴盛小区,https://jn.ke.com/xiaoqu/457467747258662/,457467747258662,槐荫,连城,15430,16,2室1厅:58.58,False
舜华园,https://jn.ke.com/xiaoqu/458374993563404/,458374993563404,市中,阳光舜城,25921,11,3室2厅:154,True
永大百花园,https://jn.ke.com/xiaoqu/4511057917145/,4511057917145,历城,山大路,18413,9,3室2厅:137,True
青城雅居,https://jn.ke.com/xiaoqu/4511060451917/,4511060451917,市中,王官庄,14575,24,3室2厅:104.48,True
环山路46到136号,https://jn.ke.com/xiaoqu/457576047596508/,457576047596508,历下,环山,22832,5,3室2厅:121.08,True
花园小区三区,https://jn.ke.com/xiaoqu/4511057904394/,4511057904394,历城,洪家楼,15557,50,2室1厅:50,False
北关北路,https://jn.ke.com/xiaoqu/4511059255886/,4511059255886,天桥,北园大街,13697,39,2室1厅:70,False
阳光舜城中区十区,https://jn.ke.com/xiaoqu/4511060037870/,4511060037870,市中,阳光舜城,17740,18,2室2厅:98.39,False
纬七路80到216号,https://jn.ke.com/xiaoqu/4513666242278321/,4513666242278321,市中,岔路街,14778,28,3室0厅:55.91,True
东青龙街住宅,https://jn.ke.com/xiaoqu/457144537599494/,457144537599494,历下,青后,27863,15,3室1厅:80,True
药山花园,https://jn.ke.com/xiaoqu/4511058542303/,4511058542303,天桥,泺口,11423,35,3室2厅:119.29,True
新城香溢澜庭,https://jn.ke.com/xiaoqu/4514578349542688/,4514578349542688,历城,王舍人,14560,6,3室2厅:130,True
金河山庄,https://jn.ke.com/xiaoqu/4520023116502778/,4520023116502778,历城,济钢,12949,42,2室2厅:84.88,False
明湖小区东区三区,https://jn.ke.com/xiaoqu/4511058196181/,4511058196181,历下,明湖区,21555,65,2室1厅:57,False
绿地卢浮商务中心,https://jn.ke.com/xiaoqu/4511317532701340/,4511317532701340,槐荫,西市场,10102,15,2室1厅:54,False
棋盘小区三区,https://jn.ke.com/xiaoqu/457121261572446/,457121261572446,历下,佛山街,21527,30,2室1厅:61.01,False
鲁信文汇花园,https://jn.ke.com/xiaoqu/457483463315906/,457483463315906,历下,文化西路,32959,4,2室2厅:120.63,False
中润富华园南区,https://jn.ke.com/xiaoqu/457574743167039/,457574743167039,历下,环山,26590,5,3室2厅:137.75,True
大学仕花园,https://jn.ke.com/xiaoqu/458349824331496/,458349824331496,市中,二环南路,15705,30,2室2厅:98.08,False
历园新村,https://jn.ke.com/xiaoqu/4511057908142/,4511057908142,历下,花园路,18935,61,1室1厅:47.08,False
碧桂园凤凰城,https://jn.ke.com/xiaoqu/457167007535606/,457167007535606,章丘,章丘碧桂园,12565,50,5室2厅:232,False
中海国际铂宫别墅西区,https://jn.ke.com/xiaoqu/457442261618738/,457442261618738,市中,二环南路,28633,19,4室2厅:326.54,False
解放路7-1号,https://jn.ke.com/xiaoqu/457483904242007/,457483904242007,历下,甸柳,25576,10,2室2厅:73.75,False
环山盛景,https://jn.ke.com/xiaoqu/457576047595930/,457576047595930,历下,环山,32188,2,2室2厅:123.87,False
title,link,no,district,area,price,amount,layout,three
华创观礼中心,https://jn.ke.com/xiaoqu/4514596446652585/,4514596446652585,高新,汉峪,14524,42,,False
黄金99御园,https://jn.ke.com/xiaoqu/456943980400557/,456943980400557,历下,燕山,30210,3,2室2厅:100,False
碧桂园莱蒙湖,https://jn.ke.com/xiaoqu/457171211014840/,457171211014840,章丘,章丘碧桂园,10621,56,4室2厅:233.45,False
营市西街,https://jn.ke.com/xiaoqu/457553327051756/,457553327051756,槐荫,营市街,14678,39,2室1厅:55.9,False
东山小区,https://jn.ke.com/xiaoqu/458141078802329/,458141078802329,市中,阳光舜城,33402,5,,False
燕山新居,https://jn.ke.com/xiaoqu/4511059534294/,4511059534294,历下,茂岭山,15237,0,,False
荣泰小区北区,https://jn.ke.com/xiaoqu/4511059889004/,4511059889004,天桥,堤口路,13931,25,3室2厅:159.14,True
杰正山山山,https://jn.ke.com/xiaoqu/457465406837250/,457465406837250,历下,浆水泉区,16881,36,2室1厅:75.4,False
经六路（槐荫区）,https://jn.ke.com/xiaoqu/4511060283508/,4511060283508,槐荫,儿童医院,14833,39,3室1厅:92.56,True
郎茂山三区,https://jn.ke.com/xiaoqu/4511100918179/,4511100918179,市中,郎茂山,11820,86,2室1厅:66.26,False
银丰玖玺城,https://jn.ke.com/xiaoqu/4520032848434416/,4520032848434416,历下,凤山路,0,0,,False
百替御园华府,https://jn.ke.com/xiaoqu/456944473492645/,456944473492645,历城,建筑大学,18831,9,,False
畅然居,https://jn.ke.com/xiaoqu/4511059463300/,4511059463300,历下,化纤厂路,15902,5,2室2厅:90,False
人事厅宿舍,https://jn.ke.com/xiaoqu/457485295177526/,457485295177526,历下,山大路,28893,10,2室2厅:106.9,False
茂新新区二区,https://jn.ke.com/xiaoqu/4511059297098/,4511059297098,天桥,馆驿街,14933,10,2室1厅:54.43,False
菜市新村,https://jn.ke.com/xiaoqu/4511059268725/,4511059268725,历下,大明湖站,18890,42,3室2厅:107,True
阳光舜城中区十一区,https://jn.ke.com/xiaoqu/4511060042518/,4511060042518,市中,阳光舜城,18529,15,2室2厅:110,False
现代逸居,https://jn.ke.com/xiaoqu/4511060449506/,4511060449506,槐荫,南辛庄,16118,30,2室2厅:104.36,False
精神卫生宿舍,https://jn.ke.com/xiaoqu/4511100909747/,4511100909747,历下,文化东路,25956,12,3室1厅:82.81,True
王官庄八区,https://jn.ke.com/xiaoqu/457511333678117/,457511333678117,市中,白马山,12557,53,1室2厅:51.49,False
嘉汇环球广场,https://jn.ke.com/xiaoqu/4511059362784/,4511059362784,天桥,北园大街,7735,54,1室1厅:52,False
北刘新区,https://jn.ke.com/xiaoqu/4511100898999/,4511100898999,天桥,馆驿街,16120,27,2室1厅:69.83,False
海尔绿城全运村麗园,https://jn.ke.com/xiaoqu/4517812874365674/,4517812874365674,历下,奥体中心,41634,1,4室1厅:238.32,False
和平路16号,https://jn.ke.com/xiaoqu/457489319874349/,457489319874349,历下,文化东路,27786,16,3室1厅:88.62,True
岔路街小区1区,https://jn.ke.com/xiaoqu/458053746839945/,458053746839945,市中,岔路街,17396,55,2室1厅:70.86,False
臧家屯小区,https://jn.ke.com/xiaoqu/4511058574339/,4511058574339,天桥,凤凰山,12268,21,1室1厅:45.68,False
华润置地公元九里,https://jn.ke.com/xiaoqu/4520032209619720/,4520032209619720,市中,兴隆,0,0,,False
海尔绿城全运村玉兰公寓,https://jn.ke.com/xiaoqu/456963898363322/,456963898363322,历下,奥体中心,16323,15,,False
历山路36号,https://jn.ke.com/xiaoqu/458096866643163/,458096866643163,历下,山大路,20800,8,2室1厅:74.23,False
西苑天发景润园,https://jn.ke.com/xiaoqu/4511058379112/,4511058379112,天桥,无影山,16086,6,3室2厅:139.11,True
title,link,no,district,area,price,amount,layout,three
万象新天三区,https://jn.ke.com/xiaoqu/4511059728295/,4511059728295,历城,王舍人,14104,33,3室2厅:114,True
世佳戎居,https://jn.ke.com/xiaoqu/4511060092026/,4511060092026,槐荫,段店,13005,25,2室1厅:70.58,False
高新万达广场,https://jn.ke.com/xiaoqu/457416502825567/,457416502825567,高新,国际会展中心,11056,68,2室1厅:66.5,False
御华嘉苑,https://jn.ke.com/xiaoqu/457621106742261/,457621106742261,历下,化纤厂路,18666,13,3室2厅:117.89,True
恒大睿城,https://jn.ke.com/xiaoqu/4513466483568943/,4513466483568943,市中,白马山,12697,63,3室2厅:127.63,True
伟东白金瀚宫三期,https://jn.ke.com/xiaoqu/4511060554557/,4511060554557,市中,伟东,21022,31,3室2厅:163.18,True
景和山庄,https://jn.ke.com/xiaoqu/456945011936359/,456945011936359,历城,建筑大学,16655,28,3室2厅:144.11,True
燕子山小区东区,https://jn.ke.com/xiaoqu/4511058192596/,4511058192596,历下,文化东路,27145,34,3室1厅:90,True
甸柳七区,https://jn.ke.com/xiaoqu/4511058199536/,4511058199536,历下,甸柳,27252,62,3室1厅:87.14,True
明珠花园,https://jn.ke.com/xiaoqu/456967177522199/,456967177522199,历下,姚家,22388,31,3室2厅:139,True
鸿建花园,https://jn.ke.com/xiaoqu/4511060491449/,4511060491449,市中,建设路,16368,25,3室2厅:131.74,True
绿地新里梵尔赛公馆二期,https://jn.ke.com/xiaoqu/456945379462476/,456945379462476,天桥,泺口,13842,32,3室1厅:125.47,True
